# The BoRG13 5sigma and 8sigma luminosity functions described in
# Schmidt et al. (2014) http://adsabs.harvard.edu/abs/2014ApJ...786...57S
#
#  MabsUV            LF5sig              LF5sig_errmax       LF5sig_errmin     LF8sig             LF8sig_errmax       LF8sig_errmin
   -16.7522578565    0.00766637832777    0.00282581907646    0.0257813430153   0.0103743098801    0.00285029587882    0.0561660555965
   -17.0640611505    0.00589116497943    0.00233128986175    0.018473565513   0.00751864306933    0.00223739229566    0.0375918061781
   -17.3060099238    0.00478661417081    0.00199950574034    0.0142307955176   0.00584142737717    0.00184729274413    0.0274852211394
   -17.5037454783    0.00402886717787    0.00175763800119    0.0114763233678   0.00474255743565    0.00157476856914    0.0212520842213
   -17.6709570253    0.00347471478612    0.00157148328542    0.00955238073922   0.00396919329144    0.00137241476254    0.017079592837
   -17.8158203078    0.00305072312448    0.00142261922456    0.00813723361859   0.0033966705164    0.00121555227854    0.014119990958
   -17.943610928    0.0027152196291    0.00130014488084    0.00705544373717   0.00295655108831    0.001089994853    0.0119281521824
   -18.0579321003    0.00244273613279    0.00119715004005    0.00620344431532   0.00260819716681    0.000986974706872    0.0102497604774
   -18.1613544471    0.00221679951683    0.00110901699401    0.00551627256293   0.00232598651088    0.00090076381983    0.00892983500048
   -18.2557763752    0.00202626588879    0.00103252841096    0.00495117834767   0.00209297959491    0.00082745214775    0.00786899199197
   -18.3426397763    0.0018633169946    0.000965365337457    0.00447891297142   0.00189753796005    0.000764273821387    0.00700081124766
   -18.4230655995    0.00172229982072    0.000905808703907    0.00407880995285   0.00173140641449    0.00070921372507    0.00627935795917
   -18.4979425565    0.0015990217825    0.000852553602691    0.00373586527355   0.00158857029765    0.000660766756481    0.00567193639208
   -18.567987151    0.00149030523494    0.000804589260829    0.00343893064109   0.00146454582116    0.000617784616913    0.00515469489388
   -18.6337854844    0.00139369619773    0.000761118924345    0.00317955519112   0.00135592359644    0.000579374998863    0.00470986004368
   -18.6958230981    0.00130726827912    0.000721504875326    0.00295121992739   0.00126006600334    0.000544833318147    0.0043239398851
   -18.7545067386    0.00122948729398    0.000685229773104    0.00274881814185   0.00117490120216    0.00051359531413    0.00398652400417
   -18.8101805359    0.00115911568274    0.000651868888837    0.00256829447188   0.00109877964834    0.000485203408296    0.00368946251552
   -18.863138231    0.00109514368554    0.00062106978475    0.00240638893619   0.00103037207793    0.000459282358652    0.00342629210947
   -18.9136325572    0.00103673890221    0.000592537189857    0.00226045204789   0.000968595641806    0.000435521332946    0.00319182705435
   -18.9618825356    0.000983208738062    0.000566021572191    0.00212830904509   0.000912559537901    0.000413660501129    0.00298186269208
   -19.0080792159    0.000933972041884    0.000541310385629    0.00200815869388   0.000861524398559    0.000393480865762    0.0027929571249
   -19.0523902459    0.000888537407183    0.000518221281943    0.00189849683358   0.000814871543031    0.000374796449346    0.00262226819483
   -19.0949635442    0.000846486374265    0.000496596787168    0.00179805789881   0.000772079412389    0.000357448222111    0.00246743017997
   -19.1359302791    0.000807460285101    0.000476300083105    0.00170576968434   0.000732705305743    0.000341299331994    0.00232645942984
   -19.175407306    0.000771149894083    0.000457211632678    0.00162071798922   0.000696371078852    0.000326231320737    0.00219768136462
   -19.2134991773    0.000737287081457    0.000439226456634    0.0015421187175   0.000662751838748    0.000312141095011    0.00207967343709
   -19.2502998105    0.0007056381877    0.000422251918014    0.00146929566737   0.000631566928018    0.000298938481616    0.001971220155
   -19.2858938839    0.000675998609509    0.00040620590613    0.0014016627036   0.000602572676268    0.000286544238767    0.00187127730963
   -19.3203580096    0.000648188386509    0.00039101533758    0.00133870933843   0.000575556528109    0.000274888426702    0.00177894329973
   -19.3537617271    0.000622048572404    0.00037661491085    0.0012799889863   0.000550332252555    0.000263909063678    0.00169343597233
   -19.3861683476    0.000597438232088    0.00036294606529    0.00122510933254   0.000526736008793    0.000253551010389    0.00161407378937
   -19.417635676    0.000574231941868    0.000349956105936    0.00117372438636   0.0005046230952    0.000243765038516    0.00154026041246
   -19.4482166322    0.000552317696812    0.000337597463792    0.00112552788504   0.000483865247314    0.000234507048709    0.00147147200833
   -19.4779597858    0.000531595149659    0.000325827067461    0.00108024778941   0.000464348379756    0.000225737410598    0.00140724673478
   -19.5069098207    0.000511974121385    0.000314605806798    0.0010376416662   0.000445970689427    0.00021742040307    0.00134717598545
   -19.5351079385    0.000493373335587    0.000303898073059    0.000997492795352   0.000428641054425    0.000209523737356    0.00129089706203
   -19.5625922114    0.00047571933829    0.000293671362953    0.000959606873231   0.000412277676347    0.000202018148916    0.00123808701145
   -19.5893978913    0.000458945572112    0.000283895936348    0.000923809208325   0.000396806923954    0.000194877046734    0.00118845741921
   -19.6155576817    0.00044299157958    0.000274544519212    0.00088994232583   0.000382162344276    0.00018807621077    0.00114174999147
   -19.6411019772    0.000427802314968    0.0002655920449    0.000857863913487   0.000368283813582    0.000181593529961    0.00109773279087
   -19.6660590764    0.000413327547745    0.000257015428031    0.000827445053387   0.000355116805706    0.000175408774563    0.00105619701694
   -19.6904553701    0.000399521343652    0.00024879336622    0.000798568694511   0.000342611759285    0.000169503397624    0.00101695424186
   -19.7143155087    0.000386341611839    0.000240906165676    0.0007711283287   0.000330723528659    0.000163860361335    0.000979834028923
   -19.7376625525    0.000373749708412    0.000233335587339    0.000745026839254   0.000319410905851    0.000158463984651    0.000944681873641
   -19.7605181052    0.000361710088335    0.000226064710751    0.00072017549651   0.000308636203132    0.000153299809196    0.000911357418081
   -19.7829024341    0.000350189998912    0.000219077813277    0.00069649307905   0.000298364887418    0.000148354480917    0.000879732897328
