# Field   mean     p1 mean1 std1   p2 mean2 std2
borg_0906+0255                0.927308752219      0.22124480784  1.19386801622  0.767354586217          0.77875519  0.797834640067 0.149212933327
borg_0909+0002                0.975724263408      0.218398687487 1.26176466756  0.912532512492          0.78160131  0.821476514444 0.156746619111
borg_0914+2822                1.07062687739       0.209683156882 1.71156202904  0.976244092482          0.79031684  0.869082163871 0.16061168721
borg_0922+4505                1.00432937627       0.824519752105 0.867616918596 0.233196489557          0.17548025  1.50342789549  0.997082154873
borg_0926+4000                0.853858454341      0.173855057065 1.37121101443  0.844270933404          0.82614494  0.720810511882 0.0994023694791
borg_0926+4426                0.858660935887      0.823930269623 0.733898497372 0.105713219986          0.17606973  1.23748397803  0.824438656681
borg_0951+3304                1.09271191638       0.175039674197 2.08737966182  0.99342000486           0.82496033  0.925521016187 0.236568124237
borg_0952+5304                0.963846074868      0.691533374163 0.768329886256 0.101016865104          0.30846663  1.07686622562  0.630800633752
borg_1010+3001                0.91170220702       0.841305576798 0.786083948984 0.133608889313          0.15869442  1.37849394628  0.803245423874
borg_1014-0423                1.02142899759       0.150709885835 1.78232200807  0.993964759194          0.84929011  0.881899476073 0.213422911177
borg_1031+3804                0.975724263408      0.84400174145  0.851970249601 0.210918703007          0.15599826  1.5761018172   0.996724209184
borg_1031+5052                0.963846074868      0.248472932197 1.09336412584  0.697568585145          0.75152707  0.78437923119  0.116066155941
borg_1033+5051                0.962374687262      0.194388884919 1.46320628409  0.909046604312          0.80561112  0.799179079645 0.130404075818
borg_1051+3359                1.05928092277       0.195790794407 1.55602678786  0.990364939695          0.80420921  0.876154683103 0.181516242415
borg_1059+0519                0.953921228125      0.820343549702 0.828906630173 0.188095987455          0.17965645  1.29049627257  0.901159357942
borg_1103-2330                0.903608982008      0.821447611726 0.745774944362 0.111304426499          0.17855239  1.44406188195  0.977844396062
borg_1111+5545                1.02180613986       0.814193056607 0.874385580004 0.208256797907          0.18580694  1.62500784421  0.994605354965
borg_1118-1858                0.963846074868      0.85399785585  0.84548727598  0.209079906441          0.14600214  1.4872096784   0.99385559131
borg_1119+4026                1.00460881398       0.784747038015 0.843870325083 0.188060000008          0.21525296  1.3785284274   0.985278530999
borg_1131+3114                1.09271191638       0.801378146564 0.89592611532  0.193205250116          0.19862185  1.84996750295  0.990519029895
borg_1152+5441                1.00432937627       0.416078849483 1.0363380525   0.670314493075          0.58392115  0.789002129099 0.103910459856
borg_1153+0056                0.975724263408      0.840712894621 0.855675731744 0.23633591788           0.15928711  1.52127137624  0.996419641893
borg_1209+4543                0.905990076063      0.174235590242 1.44650574002  0.961579421854          0.82576441  0.770409906885 0.130241727461
borg_1230+0750                1.2384332043        0.761328699221 0.933220154344 0.184570769157          0.2386713   2.18406159319  0.991802944777
borg_1242+5716                0.963846074868      0.127203995696 1.68165787208  0.900434800114          0.872796    0.855802470475 0.235250626723
borg_1245+3356                0.922947080385      0.789267864849 0.770132098238 0.122346344414          0.21073214  1.22074182928  0.889833054541
borg_1301+0000                1.00460881398       0.20544798714  1.4140014382   0.993407379926          0.79455201  0.851381138038 0.196766855282
borg_1337+0028                0.985647793294      0.785988248965 0.807922864812 0.137533196336          0.21401175  1.50662727611  0.945017151625
borg_1341+4123                0.942534649974      0.174493817968 1.61672057011  0.977841932432          0.82550618  0.805551659945 0.154372502318
borg_1358+4326                0.922947080385      0.807883278144 0.775101034994 0.132780480171          0.19211672  1.24084984324  0.923200225159
borg_1358+4334                0.91170220702       0.176857741619 1.28291014669  0.775186345178          0.82314226  0.786561370355 0.134572809227
borg_1408+5503                1.02180613986       0.232325788376 1.31101409499  0.879223773689          0.76767421  0.840340945187 0.170374084771
borg_1416+1638                0.962374687262      0.168977468559 1.53080298998  0.978207747648          0.83102253  0.825544945779 0.177621614867
borg_1429-0331                1.00161265584       0.261870526884 1.2497799448   0.858846503635          0.73812947  0.828613734061 0.158921868027
borg_1437+5043_region1        0.811616245006      0.857912362321 0.695397657211 0.0856609748372         0.14208764  1.42707279793  0.969534754769
borg_1437+5043_region2        0.860159596563      0.177040665086 1.43495452218  0.874716127425          0.82295933  0.724845582898 0.103836575117
borg_1437+5043_region3        0.79558795171       0.139065746389 1.17851360404  0.923693270625          0.86093425  0.690526366705 0.0887333044635
borg_1459+7146                1.23992151772       0.787033291835 0.952757508976 0.192518451853          0.21296671  2.1280118887   0.992620780187
borg_1510+1115                1.02170414256       0.821957298731 0.852380162815 0.194140722378          0.1780427   2.11515576629  0.994587906348
borg_1524+0954                1.06536682309       0.218473224653 1.86248547831  0.946773428453          0.78152678  0.883495843491 0.183664524168
borg_1555+1108                1.00161265584       0.855966198361 0.875923518761 0.227521795114          0.1440338   1.80717712005  0.997106223542
borg_1632+3733                1.03884042011       0.229579668935 1.38752413475  0.963984467807          0.77042033  0.858437737176 0.16849882944
borg_1632+3737                0.986577566768      0.185136129574 1.50274287616  0.985148783193          0.81486387  0.807381521974 0.133645697602
borg_2057-4412                0.942534649974      0.835910070643 0.806425076121 0.156346655506          0.16408993  1.76930836519  0.975814668096
borg_2132-1202                0.869505832778      0.179471835927 1.40948664678  0.929887312262          0.82052816  0.733232326253 0.104887523553
borg_2132+1004                0.910800428964      0.132873249057 1.59916349934  0.996500878693          0.86712675  0.809150768196 0.199319162191
borg_2155-4411                0.858660935887      0.149455773159 1.4829948306   0.966817876807          0.85054423  0.751158988314 0.130760112142
borg_2203+1851                0.920626141965      0.201058891807 1.17936928765  0.827634693337          0.79894111  0.797312650373 0.156719140532
borg_2313-2243                1.02351616509       0.158151404953 1.85940606819  0.995267828551          0.8418486   0.887361256148 0.21295382441
borg_2345+0054                0.891374932131      0.787759536092 0.744376665014 0.110242505565          0.21224046  1.19875255282  0.876138774782
borg_2351-4332                1.23992151772       0.785336293807 0.959155277837 0.198277324004          0.21466371  2.32845063929  0.990142315833
borg_0436-5259_strong         1.48343211425       0.220609870372 1.66479628632  0.49014779584           0.77939013  1.398280422    0.17006838462
borg_1301+0000_strong         1.47524167992       0.719142330415 1.38274633325  0.133230665636          0.28085767  1.57170405356  0.375854834545
borg_2155-4411_strong         1.7874823903        0.219641462035 2.00161497913  0.486141642198          0.78035854  1.71600857461  0.219892187978
UDFy                          1.0                 1.0            1.0            0.0                     0.0         1.0            0.0
UDF091y                       1.0                 1.0            1.0            0.0                     0.0         1.0            0.0 
UDF092y                       1.0                 1.0            1.0            0.0                     0.0         1.0            0.0 
ERSY                          1.0                 1.0            1.0            0.0                     0.0         1.0            0.0
borg_1815-3244                1.0                 1.0            1.0            0.0                     0.0         1.0            0.0


